HubUrl,DestinationUrl,DestinationKind,EligibleDealPost,SourceOrder,DestinationOrderInHub,CtaText,IsCtaText,Title,Status,IntentScore,OriginalVerdict0_7,CorrectedMonetizationStatus,OpportunityType,PriorityScore,PriorityBand,CorrectedExternalCommercialLinks,CorrectedCloakedInternalLinks,AmazonWithTagLinks,AmazonWithoutTagLinks,ShortAmazonUnverifiable,WrongMarketplace,RetailersDetectedCorrected,CommercialReasonsCorrected,SuggestedHubCTA,RecommendedAction,Notes,HubCount,HubUrls
https://example-affiliate-site.test/pc-accesorios,https://example-affiliate-site.test/akko-5098b-mechanical-keyboard,DEAL_POST,YES,34,1,"Chollo! AKKO 5098B Mechanical Keyboard con pantalla TFT a 79,9€",True,"Chollo! AKKO 5098B Mechanical Keyboard con pantalla TFT a 79,9€",200,30,DEST_CLOAKED_MONETIZATION_PROBABLE,GAP_PROBABLE,DESTINATION_AFFILIATE_GAP,100,HIGH,0,0,0,0,0,0,,,Añadir CTA afiliado si existe oferta real,El destino parece comercial pero no monetiza: buscar programa/retailer y añadir enlace afiliado si procede.,"Original cloaking corregido: probable falso positivo por /oferta, /amazon, /aliexpress o navegación interna.",1,https://example-affiliate-site.test/pc-accesorios
https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/auriculares-cmf-buds-2a,DEAL_POST,YES,97,11,,True,"OFERTA! Auriculares CMF Buds 2a con ANC 42 dB a 16,7€",200,30,DEST_MONETIZED_VISIBLE,MONETIZED_EXTERNAL,HUB_CTA_FRICTION,94,HIGH,7,0,1,0,1,0,"AliExpress, Amazon, Awin/Redirect, TradeTracker/Redirect","affiliate_or_redirect, affiliate_query, retailer",Ver oferta en Amazon,El destino ya monetiza: añadir o elevar CTA comercial visible en la card del hub.,Amazon corto no verificable sin resolver redirección; revisar manualmente si es prioritario.,3,https://example-affiliate-site.test/ofertas-de-drones | https://example-affiliate-site.test/ofertas-en-smartphone | https://example-affiliate-site.test/pc-accesorios
https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/baliza-emergencia-v16,DEAL_POST,YES,103,12,,True,"Chollo Top Ventas! Baliza Emergencia V16 Homologada con Geolocalizacion DGT 3.0 a 13,15€",200,30,DEST_MONETIZED_VISIBLE,MONETIZED_EXTERNAL,HUB_CTA_FRICTION,93,HIGH,7,0,2,0,0,0,"AliExpress, Amazon, Awin/Redirect, TradeTracker/Redirect","affiliate_or_redirect, affiliate_query, retailer",Ver oferta en Amazon,El destino ya monetiza: añadir o elevar CTA comercial visible en la card del hub.,,3,https://example-affiliate-site.test/ofertas-de-drones | https://example-affiliate-site.test/ofertas-en-smartphone | https://example-affiliate-site.test/pc-accesorios
https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/dji-neo,DEAL_POST,YES,31,2,CHOLLO Amazon! Mini Drone DJI Neo 4K a 136€,True,CHOLLO Amazon! Mini Drone DJI Neo 4K a 136€,200,30,DEST_MONETIZED_VISIBLE,MONETIZED_EXTERNAL,HUB_CTA_FRICTION,93,HIGH,5,0,1,0,0,0,"Amazon, Awin/Redirect, MediaMarkt, TradeDoubler/Redirect","affiliate_or_redirect, affiliate_query, retailer",Ver oferta en Amazon,El destino ya monetiza: añadir o elevar CTA comercial visible en la card del hub.,,1,https://example-affiliate-site.test/ofertas-de-drones
https://example-affiliate-site.test/ofertas-en-smartphone,https://example-affiliate-site.test/app-mediamarkt,DEAL_POST,YES,113,9,,True,CHOLLO! 15% en TODO en Mediamarkt desde la APP,200,30,DEST_MONETIZED_VISIBLE,MONETIZED_EXTERNAL,HUB_CTA_FRICTION,91,HIGH,2,0,0,0,0,0,"MediaMarkt, TradeDoubler/Redirect","affiliate_or_redirect, retailer",Ver oferta en MediaMarkt,El destino ya monetiza: añadir o elevar CTA comercial visible en la card del hub.,,2,https://example-affiliate-site.test/ofertas-en-smartphone | https://example-affiliate-site.test/pc-accesorios
https://example-affiliate-site.test/ofertas-en-smartphone,https://example-affiliate-site.test/cmf-by-nothing-watch-pro-2,DEAL_POST,YES,105,7,,True,"Chollo! CMF by Nothing Watch Pro 2 GPS a 28,5€",200,30,DEST_MONETIZED_VISIBLE,MONETIZED_EXTERNAL,HUB_CTA_FRICTION,91,HIGH,2,0,0,0,0,0,"AliExpress, Awin/Redirect","affiliate_or_redirect, retailer",Ver oferta en AliExpress,El destino ya monetiza: añadir o elevar CTA comercial visible en la card del hub.,,2,https://example-affiliate-site.test/ofertas-en-smartphone | https://example-affiliate-site.test/pc-accesorios
https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/dji-neo-2,DEAL_POST,YES,28,1,Chollo! DJI Neo 2 grabación 4K diseño plegable peso de 151gra 160€,True,Chollo! DJI Neo 2 grabación 4K diseño plegable peso de 151gra 160€,200,30,DEST_MONETIZED_VISIBLE,MONETIZED_EXTERNAL,HUB_CTA_FRICTION,91,HIGH,2,0,0,0,0,0,"AliExpress, TradeTracker/Redirect","affiliate_or_redirect, retailer",Ver oferta en AliExpress,El destino ya monetiza: añadir o elevar CTA comercial visible en la card del hub.,,1,https://example-affiliate-site.test/ofertas-de-drones
https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/dron-plegable-con-doble-camara,DEAL_POST,YES,64,7,OFERTAZA! Dron plegable con doble cámara a 14€,True,OFERTAZA! Dron plegable con doble cámara a 14€,200,30,DEST_MONETIZED_VISIBLE,MONETIZED_EXTERNAL,HUB_CTA_FRICTION,91,HIGH,2,0,0,0,0,0,"AliExpress, TradeTracker/Redirect","affiliate_or_redirect, retailer",Ver oferta en AliExpress,El destino ya monetiza: añadir o elevar CTA comercial visible en la card del hub.,,1,https://example-affiliate-site.test/ofertas-de-drones
https://example-affiliate-site.test/ofertas-de-drones,https://example-affiliate-site.test/drone-q12-4k,DEAL_POST,YES,82,8,OFERTA! Mini Dron S1S 4K a 40€,True,OFERTA! Mini Dron S1S 4K a 40€,200,30,DEST_MONETIZED_VISIBLE,MONETIZED_EXTERNAL,HUB_CTA_FRICTION,91,HIGH,2,0,0,0,0,0,"AliExpress, TradeTracker/Redirect","affiliate_or_redirect, retailer",Ver oferta en AliExpress,El destino ya monetiza: añadir o elevar CTA comercial visible en la card del hub.,,1,https://example-affiliate-site.test/ofertas-de-drones
https://example-affiliate-site.test/ofertas-en-smartphone,https://example-affiliate-site.test/ventilador-de-techo-con-lampara-control-remoto,DEAL_POST,YES,67,3,"Mas Chollo! Ventilador de techo con luz led, mando a distancia y frio/calor a 29,9€",True,"Mas Chollo! Ventilador de techo con luz led, mando a distancia y frio/calor a 29,9€",200,30,DEST_MONETIZED_VISIBLE,MONETIZED_EXTERNAL,HUB_CTA_FRICTION,91,HIGH,4,0,0,0,0,0,"AliExpress, TradeTracker/Redirect","affiliate_or_redirect, retailer",Ver oferta en AliExpress,El destino ya monetiza: añadir o elevar CTA comercial visible en la card del hub.,,2,https://example-affiliate-site.test/ofertas-en-smartphone | https://example-affiliate-site.test/pc-accesorios
